0.0708	69.0	19.68
0.09	69.0	12.0
0.12	68.6	26.2
0.17	83.0	8.0
0.179	75.0	4.0
0.199	75.0	5.0
0.2	72.9	29.6
0.240	79.69	2.65
0.27	77.0	14.0
0.28	88.8	36.6
0.35	82.1	4.8
0.35	84.4	7.0
0.352	83.0	14.0
0.3802	83.0	13.5
0.4	95.0	17.0
0.4004	77.0	10.2
0.4247	87.1	11.2
0.43	86.45	3.68
0.44	82.6	7.8
0.44497	92.8	12.9
0.4783	80.9	9.0
0.48	97.0	62.0
0.57	92.4	4.5
0.593	104.0	13.0
0.6	87.9	6.1
0.68	92.0	8.0
0.73	97.3	7.0
0.781	105.0	12.0
0.875	125.0	17.0
0.88	90.0	40.0
0.9	117.0	23.0
1.037	154.0	20.0
1.3	168.0	17.0
1.363	168.0	17.0
1.43	177.0	18.0
1.53	140.0	14.0
1.75	202.0	40.0
1.965	186.5	50.4
2.3	224.0	8.0
2.34	224.0	7.0
2.36	226.0	8.0
